Table Heap;;
Weight;Text;Info;Description
1;Insipid Utopian Sparks 1;{"Url":"https://thegreendragon.online/@insipidutopian/109553974939396535"};
1;Insipid Utopian Sparks 2;{"Url":"https://thegreendragon.online/@insipidutopian/109553677594948016"};
1;Insipid Utopian Sparks 3;{"Url":"https://thegreendragon.online/@insipidutopian/109521593973938609"};
1;Insipid Utopian Magic Pools;{"Url":"https://thegreendragon.online/@insipidutopian/109525882237162010"};
1;Cthulhu Ben Grave Goods;{"Url":"https://dice.camp/@CthulhuBen/109559981290929658"};
1;Priestess of Spiders Room Contents;{"Url":"http://priestessofspiders.blogspot.com/2022/05/how-to-make-ten-room30-minute-dungeon.html"};
1;Escapades RPG Weekly Prompts;{"Url":"https://mastodonapp.uk/@escapadesrpg/109578563888053493"};
